Employee ID,Name,Email,Gender,Date,Weekday,Department,Salary,Status,LeaveType,RemoteWork,CheckIn,CheckOut,HoursWorked,OvertimeHours,TasksCompleted,ProductivityScore,PerformanceRating
E101,Morgan Jackson,morgan.jackson@company.com,Male,01-01-2025,Wednesday,Finance,148108,Present,None,No,08:45:00,18:15:00,8,0.84,12,65,2
E101,Morgan Jackson,morgan.jackson@company.com,Male,02-01-2025,Thursday,Finance,148108,Present,None,No,08:30:00,17:00:00,8,1.12,12,63,2
E101,Morgan Jackson,morgan.jackson@company.com,Male,03-01-2025,Friday,Finance,148108,Present,None,No,10:00:00,16:15:00,8,1.71,12,100,3
E101,Morgan Jackson,morgan.jackson@company.com,Male,06-01-2025,Monday,Finance,148108,Present,None,No,10:45:00,18:30:00,8,1.64,12,98,3
E101,Morgan Jackson,morgan.jackson@company.com,Male,07-01-2025,Tuesday,Finance,148108,Present,None,No,08:00:00,16:00:00,8,1.21,12,61,3
E101,Morgan Jackson,morgan.jackson@company.com,Male,08-01-2025,Wednesday,Finance,148108,Present,None,No,09:15:00,17:15:00,8,0.74,12,82,2
E101,Morgan Jackson,morgan.jackson@company.com,Male,09-01-2025,Thursday,Finance,148108,Present,None,No,09:15:00,17:00:00,8,1.97,12,79,5
E101,Morgan Jackson,morgan.jackson@company.com,Male,10-01-2025,Friday,Finance,148108,Present,None,No,09:45:00,17:00:00,8,1.35,12,98,3
E101,Morgan Jackson,morgan.jackson@company.com,Male,13-01-2025,Monday,Finance,148108,Absent,Casual Leave,No,09:30:00,16:30:00,8,1.11,12,96,4
E101,Morgan Jackson,morgan.jackson@company.com,Male,14-01-2025,Tuesday,Finance,148108,Present,None,No,08:30:00,16:00:00,8,1.01,12,95,5
E101,Morgan Jackson,morgan.jackson@company.com,Male,15-01-2025,Wednesday,Finance,148108,Present,None,No,08:45:00,16:45:00,8,0.3,12,62,2
E101,Morgan Jackson,morgan.jackson@company.com,Male,16-01-2025,Thursday,Finance,148108,Present,None,No,10:30:00,17:00:00,8,0.14,12,86,4
